01-01;05-02;09-01;
01-02;05-03;09-02;
01-03;05-04;09-03;
01-04;05-05;09-04;
01-05;05-06;09-05;
01-06;05-07;09-06;
01-07;05-08;09-07;
01-08;05-09;09-08;
01-09;05-10;09-09;
01-10;05-11;09-10;
01-11;05-12;09-11;
01-12;05-13;09-12;
01-13;05-14;09-13;
01-14;05-15;09-14;
01-15;05-16;09-15;
01-16;05-17;09-16;
01-17;05-18;09-17;
01-18;05-19;09-18;
01-19;05-20;09-19;
01-20;05-21;09-20;
01-21;05-22;09-21;
01-22;05-23;09-22;
01-23;05-24;09-23;
01-24;05-25;09-24;
01-25;05-26;09-25;
01-26;05-27;09-26;
01-27;05-28;09-27;
01-28;05-29;09-28;
01-29;05-30;09-29;
01-30;05-31;09-30;
01-31;06-01;10-01;
02-01;06-02;10-02;
02-02;06-03;10-03;
02-03;06-04;10-04;
02-04;06-05;10-05;
02-05;06-06;10-06;
02-06;06-07;10-07;
02-07;06-08;10-08;
02-08;06-09;10-09;
02-09;06-10;10-10;
02-10;06-11;10-11;
02-11;06-12;10-12;
02-12;06-13;10-13;
02-13;06-14;10-14;
02-14;06-15;10-15;
02-15;06-16;10-16;
02-16;06-17;10-17;
02-17;06-18;10-18;
02-18;06-19;10-19;
02-19;06-20;10-20;
02-20;06-21;10-21;
02-21;06-22;10-22;
02-22;06-23;10-23;
02-23;06-24;10-24;
02-24;06-25;10-25;
02-25;06-26;10-26;
02-26;06-27;10-27;
02-27;06-28;10-28;
02-28;06-29;10-29;
02-29;06-30;10-30;
03-01;07-01;10-31;
03-02;07-02;11-01;
03-03;07-03;11-02;
03-04;07-04;10-03;
03-05;08-05;11-04;
03-06;08-06;11-05;
03-07;08-07;11-06;
03-08;08-08;11-07;
03-09;08-09;11-08;
03-10;08-10;11-09;
03-11;08-11;11-10;
03-12;08-12;11-11;
03-13;08-13;11-12;
03-14;08-14;11-13;
03-15;08-15;11-14;
03-16;08-16;11-15;
03-17;08-17;11-16;
03-18;08-18;11-17;
03-19;08-19;11-18;
03-20;08-20;11-19;
03-21;08-21;11-20;
03-22;08-22;11-21;
03-23;08-23;11-22;
03-24;08-24;11-23;
03-25;08-25;11-24;
03-26;08-26;11-25;
03-27;08-27;11-26;
03-28;07-28;11-27;
03-29;07-29;11-28;
03-30;07-30;11-29;
03-31;07-31;11-30;
04-01;08-01;12-01;
04-02;08-02;12-02;
04-03;08-03;12-03;
04-04;08-04;12-04;
04-05;08-05;12-05;
04-06;08-06;12-06;
04-07;08-07;12-07;
04-08;08-08;12-08;
04-09;08-09;12-09;
04-10;08-10;12-10;
04-11;08-11;12-11;
04-12;08-12;12-12;
04-13;08-13;12-13;
04-14;08-14;12-14;
04-15;08-15;12-15;
04-16;08-16;12-16;
04-17;08-17;12-17;
04-18;08-18;12-18;
04-19;08-19;12-19;
04-20;08-20;12-20;
04-21;08-21;12-21;
04-22;08-22;12-22;
04-23;08-23;12-23;
04-24;08-24;12-24;
04-25;08-25;12-25;
04-26;08-26;12-26;
04-27;08-27;12-27;
04-28;08-28;12-28;
04-29;08-29;12-29;
04-30;08-30;12-30;
05-01;08-31;12-31;

