#= sunday letter: f, rule number: 10, next: 2024, prev: 2013
01-12=Epi1-0a;;1960
01-14=Epi1-0a;;1570 1910 DA Newcal
01-26=Epi3-3~A;;1570 1910 DA
04-09=Pasc1-1~B;;1570 1910 DA
05-11=Pasc5-5~B;;1910
05-14=Pasc6-5~A;;1570 1910
05-16=Pasc6-3~B;;1570 1910
05-29=Pent01-1~B;;1910
09-16=093-0~B;;DA
09-16=093-0;;DA
09-19=093-1;;DA
09-19=093-2;;1570 1910
09-20=093-2;;DA
09-20=093-4;;1910
09-21=093-4;;1570 DA
09-26=095-0;;1570 1910 DA
09-27=095-1;;1570 1910 DA
09-28=095-2;;1570 1910 DA
10-01=101-0~B;;1570 1910 DA
10-29=105-1;;1570 1910 DA
10-30=105-2;;1570 1910 DA
11-19=114-4~114-5~114-6~A;;1570
11-23=114-4~114-5~B;;DA
11-26=115-1~B;;1570 1910
11-28=115-5~115-6~A;;1570 1910 DA
seant02-07=Quadp2-1;;Newcal
seant02-08=Quadp2-2;;Newcal
unsolved=114-2 114-4 114-5 114-6;;1910
